x (m), Deflection y (m), Slope (rad), Moment (Nm), Shear (N)
1.720e+00,6.520e-04,7.129e-04,3.280e+03,-1.000e+03
1.730e+00,6.591e-04,7.162e-04,3.270e+03,-1.000e+03
1.740e+00,6.663e-04,7.195e-04,3.260e+03,-1.000e+03
1.750e+00,6.735e-04,7.228e-04,3.250e+03,-1.000e+03
1.760e+00,6.807e-04,7.260e-04,3.240e+03,-1.000e+03
1.770e+00,6.879e-04,7.292e-04,3.230e+03,-1.000e+03
1.780e+00,6.952e-04,7.325e-04,3.220e+03,-1.000e+03
1.790e+00,7.026e-04,7.357e-04,3.210e+03,-1.000e+03
1.800e+00,7.099e-04,7.389e-04,3.200e+03,-1.000e+03
1.810e+00,7.173e-04,7.421e-04,3.190e+03,-1.000e+03
1.820e+00,7.247e-04,7.453e-04,3.180e+03,-1.000e+03
1.830e+00,7.322e-04,7.485e-04,3.170e+03,-1.000e+03
1.840e+00,7.397e-04,7.516e-04,3.160e+03,-1.000e+03
1.850e+00,7.472e-04,7.548e-04,3.150e+03,-1.000e+03
1.860e+00,7.547e-04,7.580e-04,3.140e+03,-1.000e+03
1.870e+00,7.623e-04,7.611e-04,3.130e+03,-1.000e+03
1.880e+00,7.699e-04,7.642e-04,3.120e+03,-1.000e+03
1.890e+00,7.776e-04,7.673e-04,3.110e+03,-1.000e+03
1.900e+00,7.852e-04,7.705e-04,3.100e+03,-1.000e+03
1.910e+00,7.929e-04,7.736e-04,3.090e+03,-1.000e+03
1.920e+00,8.007e-04,7.766e-04,3.080e+03,-1.000e+03
1.930e+00,8.084e-04,7.797e-04,3.070e+03,-1.000e+03
1.940e+00,8.162e-04,7.828e-04,3.060e+03,-1.000e+03
1.950e+00,8.241e-04,7.859e-04,3.050e+03,-1.000e+03
1.960e+00,8.319e-04,7.889e-04,3.040e+03,-1.000e+03
1.970e+00,8.398e-04,7.919e-04,3.030e+03,-1.000e+03
1.980e+00,8.477e-04,7.950e-04,3.020e+03,-1.000e+03
1.990e+00,8.557e-04,7.980e-04,3.010e+03,-1.000e+03
2.000e+00,8.637e-04,8.010e-04,3.000e+03,-1.000e+03
2.010e+00,8.717e-04,8.040e-04,2.990e+03,-1.000e+03
2.020e+00,8.797e-04,8.070e-04,2.980e+03,-1.000e+03
2.030e+00,8.878e-04,8.100e-04,2.970e+03,-1.000e+03
2.040e+00,8.959e-04,8.129e-04,2.960e+03,-1.000e+03
2.050e+00,9.040e-04,8.159e-04,2.950e+03,-1.000e+03
2.060e+00,9.122e-04,8.189e-04,2.940e+03,-1.000e+03
2.070e+00,9.204e-04,8.218e-04,2.930e+03,-1.000e+03
2.080e+00,9.286e-04,8.247e-04,2.920e+03,-1.000e+03
2.090e+00,9.368e-04,8.276e-04,2.910e+03,-1.000e+03
2.100e+00,9.451e-04,8.306e-04,2.900e+03,-1.000e+03
2.110e+00,9.534e-04,8.335e-04,2.890e+03,-1.000e+03
2.120e+00,9.617e-04,8.363e-04,2.880e+03,-1.000e+03
2.130e+00,9.701e-04,8.392e-04,2.870e+03,-1.000e+03
2.140e+00,9.785e-04,8.421e-04,2.860e+03,-1.000e+03
2.150e+00,9.869e-04,8.450e-04,2.850e+03,-1.000e+03
2.160e+00,9.954e-04,8.478e-04,2.840e+03,-1.000e+03
2.170e+00,1.004e-03,8.506e-04,2.830e+03,-1.000e+03
2.180e+00,1.012e-03,8.535e-04,2.820e+03,-1.000e+03
2.190e+00,1.021e-03,8.563e-04,2.810e+03,-1.000e+03
2.200e+00,1.029e-03,8.591e-04,2.800e+03,-1.000e+03
2.210e+00,1.038e-03,8.619e-04,2.790e+03,-1.000e+03
2.220e+00,1.047e-03,8.647e-04,2.780e+03,-1.000e+03
2.230e+00,1.055e-03,8.675e-04,2.770e+03,-1.000e+03
2.240e+00,1.064e-03,8.702e-04,2.760e+03,-1.000e+03
2.250e+00,1.073e-03,8.730e-04,2.750e+03,-1.000e+03
2.260e+00,1.081e-03,8.758e-04,2.740e+03,-1.000e+03
2.270e+00,1.090e-03,8.785e-04,2.730e+03,-1.000e+03
2.280e+00,1.099e-03,8.812e-04,2.720e+03,-1.000e+03
2.290e+00,1.108e-03,8.839e-04,2.710e+03,-1.000e+03
2.300e+00,1.117e-03,8.867e-04,2.700e+03,-1.000e+03
2.310e+00,1.125e-03,8.894e-04,2.690e+03,-1.000e+03
2.320e+00,1.134e-03,8.920e-04,2.680e+03,-1.000e+03
2.330e+00,1.143e-03,8.947e-04,2.670e+03,-1.000e+03
2.340e+00,1.152e-03,8.974e-04,2.660e+03,-1.000e+03
2.350e+00,1.161e-03,9.001e-04,2.650e+03,-1.000e+03
2.360e+00,1.170e-03,9.027e-04,2.640e+03,-1.000e+03
2.370e+00,1.179e-03,9.053e-04,2.630e+03,-1.000e+03
2.380e+00,1.188e-03,9.080e-04,2.620e+03,-1.000e+03
2.390e+00,1.197e-03,9.106e-04,2.610e+03,-1.000e+03
2.400e+00,1.206e-03,9.132e-04,2.600e+03,-1.000e+03
2.410e+00,1.216e-03,9.158e-04,2.590e+03,-1.000e+03
2.420e+00,1.225e-03,9.184e-04,2.580e+03,-1.000e+03
2.430e+00,1.234e-03,9.210e-04,2.570e+03,-1.000e+03
2.440e+00,1.243e-03,9.235e-04,2.560e+03,-1.000e+03
2.450e+00,1.252e-03,9.261e-04,2.550e+03,-1.000e+03
2.460e+00,1.262e-03,9.287e-04,2.540e+03,-1.000e+03
2.470e+00,1.271e-03,9.312e-04,2.530e+03,-1.000e+03
2.480e+00,1.280e-03,9.337e-04,2.520e+03,-1.000e+03
2.490e+00,1.290e-03,9.362e-04,2.510e+03,-1.000e+03
2.500e+00,1.299e-03,9.388e-04,2.500e+03,-1.000e+03
2.510e+00,1.308e-03,9.413e-04,2.490e+03,-1.000e+03
2.520e+00,1.318e-03,9.437e-04,2.480e+03,-1.000e+03
